username,repo_name,stars,repo_url
amphp,amp,4200,https://github.com/amphp/amp
danog,MadelineProto,2700,https://github.com/danog/MadelineProto
unreal4u,telegram-api,784,https://github.com/unreal4u/telegram-api
amphp,parallel,753,https://github.com/amphp/parallel
amphp,http-client,700,https://github.com/amphp/http-client
amphp,byte-stream,360,https://github.com/amphp/byte-stream
amphp,mysql,350,https://github.com/amphp/mysql
php-service-bus,service-bus,349,https://github.com/php-service-bus/service-bus
amphp,parallel-functions,267,https://github.com/amphp/parallel-functions
amphp,process,226,https://github.com/amphp/process
xtrime-ru,TelegramRSS,217,https://github.com/xtrime-ru/TelegramRSS
amphp,socket,214,https://github.com/amphp/socket
amphp,sync,156,https://github.com/amphp/sync
amphp,redis,152,https://github.com/amphp/redis
amphp,dns,152,https://github.com/amphp/dns
amphp,websocket-client,140,https://github.com/amphp/websocket-client
kelunik,acme,121,https://github.com/kelunik/acme
amphp,websocket-server,114,https://github.com/amphp/websocket-server
amphp,serialization,106,https://github.com/amphp/serialization
amphp,cache,96,https://github.com/amphp/cache
