username,repo_name,stars,repo_url
sindresorhus,awesome,307000,https://github.com/sindresorhus/awesome
vinta,awesome-python,210000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,183000,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,135000,https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,123000,https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,86500,https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,84600,https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,79000,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,72500,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,68400,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,65099,https://github.com/MunGell/awesome-for-beginners
enaqx,awesome-react,62800,https://github.com/enaqx/awesome-react
sindresorhus,awesome-nodejs,56600,https://github.com/sindresorhus/awesome-nodejs
fffaraz,awesome-cpp,56500,https://github.com/fffaraz/awesome-cpp
binhnguyennus,awesome-scalability,55900,https://github.com/binhnguyennus/awesome-scalability
prakhar1989,awesome-courses,54800,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,51800,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,49500,https://github.com/wasabeef/awesome-android-ui
tiimgreen,github-cheat-sheet,46200,https://github.com/tiimgreen/github-cheat-sheet
vsouza,awesome-ios,46100,https://github.com/vsouza/awesome-ios
