username,repo_name,stars,repo_url
bregman-arie,devops-exercises,64400,https://github.com/bregman-arie/devops-exercises
microsoft,generative-ai-for-beginners,47000,https://github.com/microsoft/generative-ai-for-beginners
pulumi,pulumi,20300,https://github.com/pulumi/pulumi
recommenders-team,recommenders,18300,https://github.com/recommenders-team/recommenders
getsops,sops,15400,https://github.com/getsops/sops
ramitsurana,awesome-kubernetes,14800,https://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,13800,https://github.com/Azure/azure-quickstart-templates
caprover,caprover,12500,https://github.com/caprover/caprover
danny-avila,LibreChat,12300,https://github.com/danny-avila/LibreChat
infracost,infracost,10400,https://github.com/infracost/infracost
milanm,DevOps-Roadmap,10200,https://github.com/milanm/DevOps-Roadmap
prowler-cloud,prowler,9800,https://github.com/prowler-cloud/prowler
google,go-cloud,9400,https://github.com/google/go-cloud
microsoft,computervision-recipes,9300,https://github.com/microsoft/computervision-recipes
budtmo,docker-android,8600,https://github.com/budtmo/docker-android
Netflix,metaflow,7700,https://github.com/Netflix/metaflow
microsoft,azuredatastudio,7500,https://github.com/microsoft/azuredatastudio
midwayjs,midway,7200,https://github.com/midwayjs/midway
node-formidable,formidable,7000,https://github.com/node-formidable/formidable
thangchung,clean-code-dotnet,6900,https://github.com/thangchung/clean-code-dotnet
