username,repo_name,stars,repo_url
practical-tutorials,project-based-learning,176000,https://github.com/practical-tutorials/project-based-learning
CyC2018,CS-Notes,173000,https://github.com/CyC2018/CS-Notes
fffaraz,awesome-cpp,56500,https://github.com/fffaraz/awesome-cpp
azl397985856,leetcode,54000,https://github.com/azl397985856/leetcode
youngyangyang04,leetcode-master,48300,https://github.com/youngyangyang04/leetcode-master
x64dbg,x64dbg,43500,https://github.com/x64dbg/x64dbg
Light-City,CPlusPlusThings,37800,https://github.com/Light-City/CPlusPlusThings
ClickHouse,ClickHouse,35000,https://github.com/ClickHouse/ClickHouse
huihut,interview,33500,https://github.com/huihut/interview
carbon-language,carbon-lang,32299,https://github.com/carbon-language/carbon-lang
CMU-Perceptual-Computing-Lab,openpose,30200,https://github.com/CMU-Perceptual-Computing-Lab/openpose
doocs,leetcode,29500,https://github.com/doocs/leetcode
TheAlgorithms,C-Plus-Plus,29500,https://github.com/TheAlgorithms/C-Plus-Plus
microsoft,calculator,29100,https://github.com/microsoft/calculator
aseprite,aseprite,27300,https://github.com/aseprite/aseprite
dragonflydb,dragonfly,24300,https://github.com/dragonflydb/dragonfly
changkun,modern-cpp-tutorial,23300,https://github.com/changkun/modern-cpp-tutorial
gabime,spdlog,22700,https://github.com/gabime/spdlog
ethereum,solidity,22600,https://github.com/ethereum/solidity
microsoft,vcpkg,22000,https://github.com/microsoft/vcpkg
