username,repo_name,stars,repo_url
Genymobile,scrcpy,104000,https://github.com/Genymobile/scrcpy
neovim,neovim,79000,https://github.com/neovim/neovim
obsproject,obs-studio,56500,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,56500,https://github.com/fffaraz/awesome-cpp
git,git,50700,https://github.com/git/git
FFmpeg,FFmpeg,43200,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,40100,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,35300,https://github.com/vim/vim
curl,curl,34600,https://github.com/curl/curl
huihut,interview,33500,https://github.com/huihut/interview
mpv-player,mpv,26400,https://github.com/mpv-player/mpv
ggreer,the_silver_searcher,25800,https://github.com/ggreer/the_silver_searcher
ossrs,srs,24600,https://github.com/ossrs/srs
kovidgoyal,kitty,22500,https://github.com/kovidgoyal/kitty
google,flatbuffers,22200,https://github.com/google/flatbuffers
microsoft,vcpkg,22000,https://github.com/microsoft/vcpkg
ruby,ruby,21700,https://github.com/ruby/ruby
hashcat,hashcat,20200,https://github.com/hashcat/hashcat
raysan5,raylib,20000,https://github.com/raysan5/raylib
radareorg,radare2,19800,https://github.com/radareorg/radare2
