username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,170000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,61100,https://github.com/junegunn/fzf
sherlock-project,sherlock,52200,https://github.com/sherlock-project/sherlock
jesseduffield,lazygit,47300,https://github.com/jesseduffield/lazygit
sharkdp,bat,47200,https://github.com/sharkdp/bat
BurntSushi,ripgrep,45800,https://github.com/BurntSushi/ripgrep
wagoodman,dive,44200,https://github.com/wagoodman/dive
google,zx,42100,https://github.com/google/zx
n8n-io,n8n,41800,https://github.com/n8n-io/n8n
chubin,cheat.sh,37700,https://github.com/chubin/cheat.sh
spf13,cobra,36500,https://github.com/spf13/cobra
cli,cli,35800,https://github.com/cli/cli
httpie,cli,32500,https://github.com/httpie/cli
sharkdp,fd,32200,https://github.com/sharkdp/fd
alebcay,awesome-shell,31600,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,30200,https://github.com/ibraheemdev/modern-unix
acheong08,ChatGPT,28000,https://github.com/acheong08/ChatGPT
tqdm,tqdm,27700,https://github.com/tqdm/tqdm
angular,angular-cli,26600,https://github.com/angular/angular-cli
google,python-fire,26500,https://github.com/google/python-fire
