username,repo_name,stars,repo_url
localstack,localstack,52600,https://github.com/localstack/localstack
harness,gitness,31700,https://github.com/harness/gitness
jenkinsci,jenkins,22600,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,13900,https://github.com/auchenberg/volkswagen
dagger,dagger,10500,https://github.com/dagger/dagger
milanm,DevOps-Roadmap,10200,https://github.com/milanm/DevOps-Roadmap
openshift,origin,8500,https://github.com/openshift/origin
concourse,concourse,7200,https://github.com/concourse/concourse
gocd,gocd,7100,https://github.com/gocd/gocd
buildbot,buildbot,5200,https://github.com/buildbot/buildbot
gaia-pipeline,gaia,5200,https://github.com/gaia-pipeline/gaia
Strider-CD,strider,4600,https://github.com/Strider-CD/strider
jenkins-x,jx,4500,https://github.com/jenkins-x/jx
Flagsmith,flagsmith,4500,https://github.com/Flagsmith/flagsmith
ovh,cds,4500,https://github.com/ovh/cds
JamesIves,github-pages-deploy-action,4100,https://github.com/JamesIves/github-pages-deploy-action
TheLartians,ModernCppStarter,4100,https://github.com/TheLartians/ModernCppStarter
werf,werf,4000,https://github.com/werf/werf
iterative,cml,4000,https://github.com/iterative/cml
xcpretty,xcpretty,3900,https://github.com/xcpretty/xcpretty
